FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
1031,,1926,Lightning,1926-1031,23,linens,,20070517130622,19260801,digitised,JA70003000,,2401391,230599.358,1819.4475,,
1032,,1926,Lightning,1926-1032,101.4,linens,,20070517130622,19260806,digitised,JA70003000,,2401392,1014495.8047,3736.879,,
104,,1926,Person,1926-104,8864.6,linens,,20070517130617,19260730,digitised,JA70003000,,2401393,88646930.5825,39512.8778,,
106,,1926,Person,1926-106,94.6,linens,,20070517130624,19260810,assumed_shape,JA70003000,,2401394,946341.6166,4022.7088,,
20,,1926,Person,1926-20,43.1,linens,,20070517130621,19260412,digitised,JA70003000,,2401467,431928.1163,2509.1274,,
205,,1926,Person,1926-205,492.8,linens,,20070517130613,19260712,digitised,JA70003000,,2401468,4928084.0573,10193.8719,,
209,,1926,Person,1926-209,82.4,linens,,20070517130611,19260603,digitised,JA70003000,,2401469,824854.82,4336.841,,
21,,1926,Person,1926-21,15.7,linens,,20070517130613,19260401,digitised,JA70003000,,2401470,157947.6982,1666.4612,,
21,,1926,Person,1926-21,53.4,linens,,20070517130621,19260414,digitised,JA70003000,,2401471,534836.6548,3171.2249,,
49,,1926,Lightning,1926-49,914.5,linens,,20070517130609,19260707,digitised,JA70003000,,2401582,9145243.776,13762.7608,,
492,,1926,Lightning,1926-492,332,linens,,20070517130620,19260712,digitised,JA70003000,,2401583,3320618.6574,7182.0426,,
495,,1926,Lightning,1926-495,1997.8,linens,,20070517130619,19260712,digitised,JA70003000,,2401584,19978204.4386,17330.1925,,
496,,1926,Lightning,1926-496,214.8,linens,,20070517130619,19260713,digitised,JA70003000,,2401585,2148087.2556,6027.1069,,
830,,1925,Person,1925-830,834.9,linens,,20070517130622,19250808,digitised,JA70003000,,2401310,8349665.9248,11548.2829,,
832,,1925,Lightning,1925-832,878.6,linens,,20070517130620,19250814,assumed_shape,JA70003000,,2401311,8786804.1638,11190.5357,,
833,,1925,Lightning,1925-833,62.9,linens,,20070517130610,19250724,digitised,JA70003000,,2401312,629803.5396,3378.1632,,
834,,1925,Lightning,1925-834,1293.3,linens,,20070517130623,19250717,assumed_shape,JA70003000,,2401313,12933799.8788,19131.5912,,
837,,1925,Lightning,1925-837,79.8,linens,,20070517130622,19250728,digitised,JA70003000,,2401314,798344.9603,3641.0959,,
1063,,1926,Lightning,1926-1063,189.6,linens,,20070517130621,19260814,digitised,JA70003000,,2401395,1896933.8886,6402.4445,,
1064,,1926,Lightning,1926-1064,87.8,linens,,20070517130623,19260814,assumed_shape,JA70003000,,2401396,878222.1809,4097.6441,,
107,,1926,Person,1926-107,61.2,linens,,20070517130623,19260430,assumed_shape,JA70003000,,2401397,612875.8449,3354.1343,,
211,,1926,Person,1926-211,1821.2,linens,,20070517130622,19260608,digitised,JA70003000,,2401472,18212321.2865,21279.9625,,
212,,1926,Person,1926-212,66.9,linens,,20070517130611,19260607,digitised,JA70003000,,2401473,669873.2361,6431.5031,,
216,,1926,Person,1926-216,169.4,linens,,20070517130624,19260718,assumed_shape,JA70003000,,2401474,1694481.3115,5743.1755,,
219,,1926,Person,1926-219,80.9,linens,,20070517130623,19260608,assumed_shape,JA70003000,,2401475,809907.9438,3320.6029,,
409,,1926,Lightning,1926-409,86.5,linens,,20070517130615,19260706,digitised,JA70003000,,2401541,865599.9449,3636.3614,,
411,,1926,Person,1926-411,276.3,linens,,20070517130614,19260911,digitised,JA70003000,,2401542,2763417.7241,6743.7003,,
42,,1926,Person,1926-42,2866.9,linens,,20070517130617,19260630,digitised,JA70003000,,2401543,28669178.0672,24076.677,,
426,,1926,Person,1926-426,44.7,linens,,20070517130612,19260927,digitised,JA70003000,,2401544,447737.5983,3386.1357,,
838,,1925,Lightning,1925-838,1179.6,linens,,20070517130622,19250728,digitised,JA70003000,,2401315,11796311.8181,12633.3461,,
84,,1925,Person,1925-84,4457.2,linens,,20070517130617,19250708,digitised,JA70003000,,2401316,44572329.769,31914.4586,,
843,,1925,Lightning,1925-843,2819.1,linens,,20070517130619,19250806,digitised,JA70003000,,2401317,28191581.4659,29387.9827,,
108a,,1926,Person,1926-108a,623.6,linens,,20070517130616,19260807,digitised,JA70003000,,2401398,6236562.888,18042.8421,,
110,,1926,Person,1926-110,15.9,linens,,20070517130624,19260810,assumed_shape,JA70003000,,2401399,159749.6333,1925.8534,,
1118,,1926,Lightning,1926-1118,88.1,linens,,20070517130620,19260712,digitised,JA70003000,,2401400,881061.6965,3928.3563,,
112,,1926,Person,1926-112,6.3,linens,,20070517130613,19260813,digitised,JA70003000,,2401401,63582.679,960.1466,,
114,,1926,Lightning,1926-114,278.8,linens,,20070517130613,19260706,digitised,JA70003000,,2401402,2788502.6663,7655.7167,,
114a,,1926,Person,1926-114a,8.6,linens,,20070517130623,19260808,assumed_shape,JA70003000,,2401403,86893.0439,1135.2231,,
21a,,1926,Person,1926-21a,50.8,linens,,20070517130618,19260511,digitised,JA70003000,,2401476,508474.4688,5084.7596,,
22,,1926,Person,1926-22,65.5,linens,,20070517130617,19260503,digitised,JA70003000,,2401477,655385.3843,6662.083,,
22,,1926,Person,1926-22,13.2,linens,,20070517130617,19260503,digitised,JA70003000,,2401478,132088.1732,1355.3052,,
224,,1926,Person,1926-224,50,linens,,20070517130620,19260608,digitised,JA70003000,,2401479,500034.6974,2687.0781,,
226,,1926,Person,1926-226,43.9,linens,,20070517130614,19260719,digitised,JA70003000,,2401480,439328.1584,2732.6805,,
227,,1926,Person,1926-227,109.7,linens,,20070517130622,19260608,digitised,JA70003000,,2401481,1097504.0394,5290.9439,,
458,,1926,Lightning,1926-458,2069.3,linens,,20070517130610,19260712,digitised,JA70003000,,2401556,20693267.0933,21035.0478,,
45a,,1926,Person,1926-45a,21.9,linens,,20070517130611,19260427,digitised,JA70003000,,2401557,219061.0217,1859.0959,,
46,,1926,Person,1926-46,86.7,linens,,20070517130611,19260427,digitised,JA70003000,,2401558,867168.2527,4600.9717,,
460,,1926,Person,1926-460,8.4,linens,,20070517130612,19260920,digitised,JA70003000,,2401559,84827.7959,1305.9472,,
462,,1926,Lightning,1926-462,4512.3,linens,,20070517130619,19260712,digitised,JA70003000,,2401560,45123181.5562,31302.4468,,
465,,1926,Lightning,1926-465,42,linens,,20070517130619,19260712,digitised,JA70003000,,2401561,420656.7235,2422.1929,,
466,,1926,Person,1926-466,20.7,linens,,20070517130625,19260924,assumed_shape,JA70003000,,2401562,207148.1968,1616.0419,,
844,,1925,Lightning,1925-844,2148.9,linens,,20070517130610,20070516,digitised,JA70003000,,2401318,21489548.8454,18566.5878,,
845,,1925,Lightning,1925-845,20.6,linens,,20070517130619,19250818,digitised,JA70003000,,2401319,206907.3296,1821.9634,,
846,,1925,Lightning,1925-846,42.6,linens,,20070517130619,19250818,digitised,JA70003000,,2401320,426895.6405,2837.8889,,
847,,1925,Lightning,1925-847,29.4,linens,,20070517130619,19250818,digitised,JA70003000,,2401321,294405.2892,2195.1104,,
848,,1925,Lightning,1925-848,10.5,linens,,20070517130619,19250815,digitised,JA70003000,,2401322,105431.7454,1224.971,,
85,,1925,Person,1925-85,1416,linens,,20070517130609,19250808,digitised,JA70003000,,2401323,14160879.4691,15776.655,,
852,,1925,Lightning,1925-852,32.2,linens,,20070517130611,19250806,digitised,JA70003000,,2401324,322011.919,2552.0719,,
115,,1926,Lightning,1926-115,33.5,linens,,20070517130609,19260802,digitised,JA70003000,,2401404,335449.5163,2393.6133,,
115,,1926,Person,1926-115,31.8,linens,,20070517130617,19260815,digitised,JA70003000,,2401405,318372.0974,2813.2321,,
1156,,1926,Person,1926-1156,220,linens,,20070517130623,19260718,assumed_shape,JA70003000,,2401406,2200650.2469,6600.5697,,
115a,,1926,Person,1926-115a,355.6,linens,,20070517130615,19260715,digitised,JA70003000,,2401407,3556668.3434,8480.9644,,
116,,1926,Lightning,1926-116,1758.2,linens,,20070517130609,19260804,digitised,JA70003000,,2401408,17582565.5904,18131.34,,
229,,1926,Person,1926-229,798.5,linens,,20070517130621,19260604,digitised,JA70003000,,2401482,7985571.5432,14685.1302,,
23,,1926,Person,1926-23,51.6,linens,,20070517130616,19260516,digitised,JA70003000,,2401483,516300.7626,2638.8972,,
23,,1926,Person,1926-23,684.7,linens,,20070517130617,19260512,digitised,JA70003000,,2401484,6847944.6536,14980.3444,,
23,,1926,Person,1926-23,128.2,linens,,20070517130623,19260427,assumed_shape,JA70003000,,2401485,1282604.3128,4027.7014,,
488,,1926,Lightning,1926-488,368.1,linens,,20070517130621,19260713,digitised,JA70003000,,2401579,3681729.9582,9955.188,,
489,,1926,Person,1926-489,331.7,linens,,20070517130623,19260713,assumed_shape,JA70003000,,2401580,3317823.8101,7293.1559,,
48a,,1926,Lightning,1926-48a,566.6,linens,,20070517130609,19260713,digitised,JA70003000,,2401581,5666214.3318,11650.1732,,
855,,1925,Lightning,1925-855,63.9,linens,,20070517130619,19250820,digitised,JA70003000,,2401325,639168.7726,3323.5016,,
86a,,1925,Lightning,1925-86a,451.2,linens,,20070517130613,19250806,digitised,JA70003000,,2401326,4512641.1644,9290.1693,,
87,,1925,Person,1925-87,75.6,linens,,20070517130622,19250424,assumed_shape,JA70003000,,2401327,756869.0817,3232.2417,,
873,,1925,Person,1925-873,181.8,linens,,20070517130619,19250821,digitised,JA70003000,,2401328,1818176.5996,7324.4311,,
875,,1925,Lightning,1925-875,48,linens,,20070517130620,19250821,digitised,JA70003000,,2401329,480494.5144,2606.0515,,
878,,1925,Lightning,1925-878,66.7,linens,,20070517130621,19250818,digitised,JA70003000,,2401330,667921.6166,3340.5633,,
88,,1925,Person,1925-88,109.2,linens,,20070517130616,19250711,digitised,JA70003000,,2401331,1092407.1653,4994.3655,,
88,,1925,Person,1925-88,8.4,linens,,20070517130622,19250518,digitised,JA70003000,,2401332,84515.3294,1104.1176,,
116,,1926,Person,1926-116,262.8,linens,,20070517130616,19260805,digitised,JA70003000,,2401409,2628878.8397,8172.0073,,
1163,,1926,Lightning,1926-1163,1640.8,linens,,20070517130648,19260713,digitised,JA70003000,,2401410,16408923.8486,22038.6386,,
117,,1926,Lightning,1926-117,177,linens,,20070517130613,19260709,digitised,JA70003000,,2401411,1770063.7247,5174.1579,,
118,,1926,Person,1926-118,56.6,linens,,20070517130616,19260808,digitised,JA70003000,,2401412,566442.1295,3114.723,,
119,,1926,Lightning,1926-119,132.5,linens,,20070517130613,19260712,digitised,JA70003000,,2401413,1325132.07,5088.9264,,
231,,1926,Person,1926-231,4660.1,linens,,20070517130612,19260713,digitised,JA70003000,,2401486,46601159.9894,37330.4267,,
233,,1926,Person,1926-233,27.1,linens,,20070517130611,19260607,digitised,JA70003000,,2401487,271975.7457,2468.8735,,
233,,1926,Person,1926-233,206.6,linens,,20070517130611,19260607,digitised,JA70003000,,2401488,2066079.4756,6174.8961,,
233a,,1926,Person,1926-233a,42,linens,,20070517130611,19260801,digitised,JA70003000,,2401489,420749.9345,2847.7896,,
426,,1926,Person,1926-426,60.3,linens,,20070517130613,19260810,digitised,JA70003000,,2401545,603968.1524,3914.2972,,
428,,1926,Person,1926-428,401.4,linens,,20070517130624,19260911,assumed_shape,JA70003000,,2401546,4014000.1423,8474.3131,,
43,,1926,Person,1926-43,173.3,linens,,20070517130620,19260715,digitised,JA70003000,,2401547,1733793.0302,4891.2282,,
43,,1926,Person,1926-43,108.4,linens,,20070517130621,19260428,digitised,JA70003000,,2401548,1084011.5198,6175.935,,
438,,1926,Lightning,1926-438,570.6,linens,,20070517130620,19260710,assumed_shape,JA70003000,,2401549,5706497.6511,10694.4299,,
881,,1925,Lightning,1925-881,34.8,linens,,20070517130620,19250822,digitised,JA70003000,,2401333,348073.9512,2299.9746,,
882,,1925,Lightning,1925-882,86.7,linens,,20070517130620,19250821,digitised,JA70003000,,2401334,867751.0221,4472.5226,,
883,,1925,Lightning,1925-883,121,linens,,20070517130620,19250822,digitised,JA70003000,,2401335,1210527.1575,4450.9321,,
884,,1925,Lightning,1925-884,8,linens,,20070517130622,19250820,digitised,JA70003000,,2401336,80841.461,1106.1712,,
885,,1925,Lightning,1925-885,55.6,linens,,20070517130611,20070516,digitised,JA70003000,,2401337,556585.5059,2989.606,,
889,,1925,Lightning,1925-889,69,linens,,20070517130621,19250801,digitised,JA70003000,,2401338,690499.8414,3755.6806,,
119,,1926,Person,1926-119,58,linens,,20070517130648,19260810,digitised,JA70003000,,2401414,580323.4257,4627.4966,,
120,,1926,Lightning,1926-120,43.9,linens,,20070517130613,20070516,digitised,JA70003000,,2401415,439566.8895,2946.2532,,
121,,1926,Lightning,1926-121,169.4,linens,,20070517130613,20070516,digitised,JA70003000,,2401416,1694904.4584,5326.8286,,
122,,1926,Person,1926-122,573.2,linens,,20070517130615,19260804,digitised,JA70003000,,2401417,5732816.984,12024.4145,,
122,,1926,Person,1926-122,36.8,linens,,20070517130618,19261101,digitised,JA70003000,,2401418,368105.7595,2514.3314,,
123,,1926,Person,1926-123,181,linens,,20070517130616,19260812,digitised,JA70003000,,2401419,1810934.6072,5663.8829,,
125,,1926,Person,1926-125,123.4,linens,,20070517130616,19260813,digitised,JA70003000,,2401420,1234848.5991,4804.7033,,
236,,1926,Person,1926-236,86.8,linens,,20070517130611,19260604,digitised,JA70003000,,2401490,868852.1521,4863.4541,,
24,,1926,Person,1926-24,53.6,linens,,20070517130616,19260519,digitised,JA70003000,,2401491,536200.9223,3352.2672,,
24,,1926,Person,1926-24,194.3,linens,,20070517130623,19260414,assumed_shape,JA70003000,,2401492,1943897.294,6850.141,,
24,,1926,Person,1926-24,24.1,linens,,20070517130625,19260402,assumed_shape,JA70003000,,2401493,241526.7597,1744.3747,,
25,,1926,Person,1926-25,352,linens,,20070517130618,19260512,digitised,JA70003000,,2401494,3520753.3494,12313.403,,
467a,,1926,Person,1926-467a,33,linens,,20070517130613,19260819,digitised,JA70003000,,2401563,330544.1055,2228.5258,,
469,,1926,Person,1926-469,192.8,linens,,20070517130626,19260927,assumed_shape,JA70003000,,2401564,1928417.316,4928.9926,,
47,,1926,Person,1926-47,12.6,linens,,20070517130620,19260426,assumed_shape,JA70003000,,2401565,126005.4572,1286.7487,,
47,,1926,Person,1926-47,160.6,linens,,20070517130624,19260810,assumed_shape,JA70003000,,2401566,1606630.2738,5019.6768,,
472,,1926,Person,1926-472,85.1,linens,,20070517130614,19260927,digitised,JA70003000,,2401567,851611.6532,3363.3821,,
473,,1926,Person,1926-473,121.1,linens,,20070517130614,19260921,digitised,JA70003000,,2401568,1211520.358,5993.6917,,
890,,1925,Lightning,1925-890,213.7,linens,,20070517130621,19250813,digitised,JA70003000,,2401339,2137882.5252,5953.4985,,
891,,1925,Lightning,1925-891,113.2,linens,,20070517130623,19250801,assumed_shape,JA70003000,,2401340,1132392.162,3828.7126,,
894,,1925,Lightning,1925-894,6452.9,linens,,20070517130610,19250828,digitised,JA70003000,,2401341,64529409.6867,39339.8597,,
8a,,1925,Person,1925-8a,169.2,linens,,20070517130617,19250507,digitised,JA70003000,,2401342,1692115.9282,5618.2956,,
128,,1926,Person,1926-128,29.2,linens,,20070517130615,19260730,digitised,JA70003000,,2401421,292840.7752,2320.9574,,
129,,1926,Person,1926-129,40,linens,,20070517130615,19260809,digitised,JA70003000,,2401422,400034.1366,2311.4145,,
129,,1926,Person,1926-129,41.5,linens,,20070517130617,19260809,digitised,JA70003000,,2401423,415944.2758,3688.9818,,
130,,1926,Lightning,1926-130,54.7,linens,,20070517130617,19260806,digitised,JA70003000,,2401424,547095.9375,3010.2227,,
130,,1926,Person,1926-130,354,linens,,20070517130617,19260809,digitised,JA70003000,,2401425,3540685.8823,9291.5069,,
25,,1926,Person,1926-25,21.8,linens,,20070517130621,19260418,digitised,JA70003000,,2401495,218384.0727,2380.4092,,
254,,1926,Person,1926-254,23.7,linens,,20070517130623,19260728,assumed_shape,JA70003000,,2401496,237220.9527,2235.3444,,
26a,,1926,Person,1926-26a,63.4,linens,,20070517130618,19260511,digitised,JA70003000,,2401497,634695.4994,4321.7364,,
27,,1926,Person,1926-27,0.7,linens,,20070517130615,19260702,digitised,JA70003000,,2401498,7524.2372,367.2789,,
27,,1926,Person,1926-27,2.7,linens,,20070517130615,19260702,digitised,JA70003000,,2401499,27774.7011,723.795,,
27,,1926,Person,1926-27,4.7,linens,,20070517130615,19260702,digitised,JA70003000,,2401500,47368.5077,1065.6923,,
27,,1926,Person,1926-27,1.8,linens,,20070517130615,19260702,digitised,JA70003000,,2401501,18119.8342,683.599,,
27,,1926,Person,1926-27,13.9,linens,,20070517130618,19260511,digitised,JA70003000,,2401502,139570.8005,1430.7874,,
27,,1926,Person,1926-27,32769.7,linens,,20070517130648,19260702,digitised,JA70003000,,2401503,327697555.4056,154514.307,,
273,,1926,Person,1926-273,32.6,linens,,20070517130612,19260731,digitised,JA70003000,,2401504,326369.5228,2942.7633,,
275,,1926,Person,1926-275,20.5,linens,,20070517130612,19260803,digitised,JA70003000,,2401505,205873.6148,1939.8856,,
476,,1926,Person,1926-476,244.8,linens,,20070517130624,19260915,digitised,JA70003000,,2401573,2448374.5492,8072.0851,,
479,,1926,Person,1926-479,30.3,linens,,20070517130613,19260901,digitised,JA70003000,,2401574,303766.2463,2525.1272,,
480,,1926,Person,1926-480,12.6,linens,,20070517130613,19260914,digitised,JA70003000,,2401575,126766.948,1370.2765,,
481,,1926,Lightning,1926-481,1396,linens,,20070517130620,19260712,digitised,JA70003000,,2401576,13960154.603,18811.9912,,
8a,,1925,Person,1925-8a,432.5,linens,,20070517130624,19250511,assumed_shape,JA70003000,,2401343,4325261.5044,9852.7993,,
9,,1925,Person,1925-9,16.7,linens,,20070517130611,19250429,digitised,JA70003000,,2401344,167735.6587,1500.9535,,
9,,1925,Person,1925-9,29,linens,,20070517130614,19250508,digitised,JA70003000,,2401345,290383.4618,1956.5029,,
91,,1925,Person,1925-91,134.3,linens,,20070517130614,19250623,digitised,JA70003000,,2401346,1343100.0221,5608.3126,,
91,,1925,Person,1925-91,10.9,linens,,20070517130620,19250519,digitised,JA70003000,,2401347,109541.8322,1346.6292,,
912,,1925,Lightning,1925-912,3693.6,linens,,20070517130610,19250728,digitised,JA70003000,,2401348,36936271.9925,39376.3793,,
131,,1926,Lightning,1926-131,188.4,linens,,20070517130617,19260806,digitised,JA70003000,,2401426,1884310.575,6773.5591,,
131,,1926,Person,1926-131,52,linens,,20070517130617,19260812,digitised,JA70003000,,2401427,520664.6079,4274.2999,,
132,,1926,Person,1926-132,17.3,linens,,20070517130622,19260704,digitised,JA70003000,,2401428,173489.5146,1906.5471,,
27a,,1926,Person,1926-27a,34.8,linens,,20070517130621,19260417,digitised,JA70003000,,2401506,348991.4669,2675.5935,,
27a,,1926,Person,1926-27a,34.9,linens,,20070517130625,19260402,assumed_shape,JA70003000,,2401507,349639.494,2392.0968,,
28,,1926,Person,1926-28,333.5,linens,,20070517130610,19260712,digitised,JA70003000,,2401508,3335711.6836,9902.0207,,
28,,1926,Person,1926-28,105.3,linens,,20070517130618,19260512,digitised,JA70003000,,2401509,1053294.1675,5919.6135,,
28,,1926,Person,1926-28,11.8,linens,,20070517130618,19260512,digitised,JA70003000,,2401510,118378.0699,2447.1949,,
282,,1926,Person,1926-282,46.4,linens,,20070517130611,19260608,digitised,JA70003000,,2401511,464856.2626,3588.3057,,
282,,1926,Person,1926-282,195.5,linens,,20070517130612,19260806,digitised,JA70003000,,2401512,1955877.7985,6647.8353,,
77,,1925,Person,1925-77,2579.6,linens,,20070517130648,19250715,digitised,JA70003000,,2401274,25796236.4587,29636.3977,,
770,,1925,Lightning,1925-770,178.9,linens,,20070517130619,19250803,digitised,JA70003000,,2401275,1789923.0777,5704.6308,,
773,,1925,Lightning,1925-773,151.2,linens,,20070517130619,19250801,digitised,JA70003000,,2401276,1512385.1572,5706.2482,,
774a,,1925,Person,1925-774a,11003.7,linens,,20070517130623,19250801,assumed_shape,JA70003000,,2401277,110037209.8296,80733.8796,,
92,,1925,Lightning,1925-92,374.7,linens,,20070517130609,19250809,digitised,JA70003000,,2401349,3747324.3293,9605.4641,,
92,,1925,Person,1925-92,14.1,linens,,20070517130618,19250628,digitised,JA70003000,,2401350,141365.0432,1619.4002,,
92,,1925,Person,1925-92,112.8,linens,,20070517130621,19250517,digitised,JA70003000,,2401351,1128709.3048,5882.942,,
922,,1925,Lightning,1925-922,95.3,linens,,20070517130621,19250823,digitised,JA70003000,,2401352,953401.7867,3838.9225,,
690,,1925,Lightning,1925-690,1186,linens,,20070517130610,20070516,digitised,JA70003000,,2401195,11860923.2013,23162.684,,
690,,1925,Person,1925-690,15.2,linens,,20070517130622,19251012,digitised,JA70003000,,2401196,152434.3435,2179.5946,,
691,,1925,Lightning,1925-691,181.8,linens,,20070517130610,19250802,digitised,JA70003000,,2401197,1818799.0183,5345.2974,,
692,,1925,Person,1925-692,32,linens,,20070517130613,19251013,digitised,JA70003000,,2401198,320511.8418,2139.7493,,
694,,1925,Person,1925-694,52.6,linens,,20070517130626,19251011,assumed_shape,JA70003000,,2401199,526531.1891,3367.2367,,
696,,1925,Lightning,1925-696,33.4,linens,,20070517130620,19250804,digitised,JA70003000,,2401200,334142.6329,2259.1973,,
376a,,1925,Person,1925-376a,181.6,linens,,20070517130612,19250802,digitised,JA70003000,,2400964,1816056.1723,6326.3407,,
38,,1925,Person,1925-38,224.7,linens,,20070517130619,19250510,digitised,JA70003000,,2400965,2247229.8086,8292.9716,,
381,,1925,Person,1925-381,282.9,linens,,20070517130613,19250802,digitised,JA70003000,,2400966,2829174.8039,9999.585,,
382,,1925,Lightning,1925-382,1534.8,linens,,20070517130649,19250713,digitised,JA70003000,,2400967,15348370.3453,19283.2645,,
470,,1925,Person,1925-470,170.4,linens,,20070517130613,19250724,digitised,JA70003000,,2401027,1704065.2519,6288.6019,,
471,,1925,Person,1925-471,138.3,linens,,20070517130621,19250718,digitised,JA70003000,,2401028,1383694.8887,5050.3501,,
475,,1925,Person,1925-475,62.5,linens,,20070517130625,19250819,assumed_shape,JA70003000,,2401029,625536.6258,3273.0575,,
48,,1925,Person,1925-48,3212.9,linens,,20070517130609,19250717,digitised,JA70003000,,2401030,32129072.7607,27741.6995,,
480,,1925,Person,1925-480,86,linens,,20070517130623,19250718,assumed_shape,JA70003000,,2401031,860491.6672,4438.4999,,
61,,1925,Person,1925-61,28,linens,,20070517130616,19250615,digitised,JA70003000,,2401114,280968.7397,2074.536,,
61,,1925,Person,1925-61,231,linens,,20070517130618,19250514,digitised,JA70003000,,2401115,2310330.5553,6806.4083,,
610,,1925,Lightning,1925-610,265.4,linens,,20070517130620,19250801,digitised,JA70003000,,2401116,2654909.7004,6958.306,,
614,,1925,Person,1925-614,258,linens,,20070517130612,19250920,digitised,JA70003000,,2401117,2580828.1275,9016.9265,,
617,,1925,Lightning,1925-617,529.1,linens,,20070517130620,19250801,assumed_shape,JA70003000,,2401118,5291737.792,9226.9547,,
618,,1925,Lightning,1925-618,54.6,linens,,20070517130620,19250804,digitised,JA70003000,,2401119,546402.3658,2840.1279,,
758,,1925,Lightning,1925-758,485.2,linens,,20070517130623,19250812,assumed_shape,JA70003000,,2401266,4852442.1191,13452.3153,,
759,,1925,Lightning,1925-759,258.6,linens,,20070517130616,19250809,digitised,JA70003000,,2401267,2586047.1875,7500.6596,,
760,,1925,Lightning,1925-760,29.3,linens,,20070517130611,19250729,digitised,JA70003000,,2401268,293850.6102,2023.4196,,
763,,1925,Lightning,1925-763,166.6,linens,,20070517130620,19250814,digitised,JA70003000,,2401269,1666200.3542,5075.5241,,
77,,1925,Person,1925-77,22.9,linens,,20070517130610,19250517,digitised,JA70003000,,2401270,229242.3007,1988.0354,,
77,,1925,Person,1925-77,0.9,linens,,20070517130615,19250715,digitised,JA70003000,,2401271,9793.7686,409.3032,,
77,,1925,Person,1925-77,4,linens,,20070517130615,19250715,digitised,JA70003000,,2401272,40537.6342,1003.4501,,
77,,1925,Person,1925-77,6373.5,linens,,20070517130648,19250715,digitised,JA70003000,,2401273,63735008.8656,43650.9851,,
383,,1925,Person,1925-383,915.4,linens,,20070517130612,19250806,digitised,JA70003000,,2400968,9154493.5865,14722.5642,,
384,,1925,Lightning,1925-384,442.4,linens,,20070517130619,19250712,digitised,JA70003000,,2400969,4424808.8663,13131.8914,,
49,,1925,Person,1925-49,33,linens,,20070517130625,19250506,assumed_shape,JA70003000,,2401032,330737.5984,2042.9401,,
490,,1925,Person,1925-490,93.7,linens,,20070517130624,19250819,assumed_shape,JA70003000,,2401033,937059.9998,4143.3223,,
491,,1925,Person,1925-491,14,linens,,20070517130626,19250819,assumed_shape,JA70003000,,2401034,140445.9115,1330.1877,,
5,,1925,Person,1925-5,22.1,linens,,20070517130613,19250511,assumed_shape,JA70003000,,2401035,221566.106,1888.638,,
5,,1925,Person,1925-5,52.1,linens,,20070517130618,19250508,digitised,JA70003000,,2401036,521932.3453,3885.3175,,
50,,1925,Person,1925-50,55.1,linens,,20070517130610,19250516,digitised,JA70003000,,2401037,551142.7753,3544.8243,,
50,,1925,Person,1925-50,20.5,linens,,20070517130626,19250517,assumed_shape,JA70003000,,2401038,205329.6843,1608.7159,,
619,,1925,Person,1925-619,132.9,linens,,20070517130612,19250918,digitised,JA70003000,,2401120,1329406.0377,4745.9963,,
62,,1925,Person,1925-62,97.2,linens,,20070517130612,19250523,digitised,JA70003000,,2401121,972001.5062,3913.7745,,
62,,1925,Person,1925-62,56.1,linens,,20070517130615,19250601,digitised,JA70003000,,2401122,561447.8132,2811.3999,,
621,,1925,Lightning,1925-621,3123.3,linens,,20070517130619,19250801,digitised,JA70003000,,2401123,31233861.2498,31813.6007,,
623,,1925,Person,1925-623,120.5,linens,,20070517130625,19250918,assumed_shape,JA70003000,,2401124,1205177.4466,4315.5663,,
624,,1925,Lightning,1925-624,215.8,linens,,20070517130619,19250802,digitised,JA70003000,,2401125,2158326.8482,6623.3952,,
624,,1925,Person,1925-624,113.8,linens,,20070517130625,19250918,assumed_shape,JA70003000,,2401126,1138859.3309,3881.9966,,
698,,1925,Lightning,1925-698,81,linens,,20070517130623,19250802,digitised,JA70003000,,2401201,810225.1836,3742.4311,,
699,,1925,Lightning,1925-699,25.7,linens,,20070517130620,19250729,digitised,JA70003000,,2401202,257224.3443,1948.4619,,
69a,,1925,Person,1925-69a,4367,linens,,20070517130648,19250728,digitised,JA70003000,,2401203,43670326.9694,34961.9653,,
386,,1925,Lightning,1925-386,3304.3,linens,,20070517130610,19250714,digitised,JA70003000,,2400970,33043136.8091,28154.8244,,
387,,1925,Lightning,1925-387,108.9,linens,,20070517130623,19250712,assumed_shape,JA70003000,,2400971,1089026.0375,5637.544,,
387,,1925,Person,1925-387,26.1,linens,,20070517130626,19250807,assumed_shape,JA70003000,,2400972,261273.4291,1814.2831,,
388,,1925,Person,1925-388,27.8,linens,,20070517130624,19250809,assumed_shape,JA70003000,,2400973,278009.016,2418.8486,,
389,,1925,Lightning,1925-389,864.3,linens,,20070517130610,19250718,digitised,JA70003000,,2400974,8643976.3251,15744.9179,,
502,,1925,Lightning,1925-502,532.2,linens,,20070517130619,19250726,digitised,JA70003000,,2401039,5322849.8909,9752.0768,,
504,,1925,Lightning,1925-504,61.6,linens,,20070517130611,19250726,digitised,JA70003000,,2401040,616723.0912,3973.529,,
505,,1925,Lightning,1925-505,30.6,linens,,20070517130611,19250725,digitised,JA70003000,,2401041,306697.6761,2240.4848,,
507,,1925,Person,1925-507,88.6,linens,,20070517130626,19250820,assumed_shape,JA70003000,,2401042,886846.5563,3342.9698,,
