,zone,date,area_burned,mean_temp,total_precip
75,Coastal_NorthIslandMidCoast,2016-09-30,0.0,13.076666666666666,118.2
76,Coastal_NorthIslandMidCoast,2016-08-31,206.9,18.974193548387092,89.0
77,Coastal_NorthIslandMidCoast,2016-07-31,0.0,17.641935483870967,52.2
78,Coastal_NorthIslandMidCoast,2016-06-30,0.0,15.666666666666666,92.4
79,Coastal_NorthIslandMidCoast,2016-05-31,0.0,14.061290322580646,13.400000000000002
80,Coastal_NorthIslandMidCoast,2016-04-30,0.0,11.02,59.60000000000001
81,Coastal_NorthIslandMidCoast,2016-03-31,0.0,8.015789473684212,26.0
82,Coastal_NorthIslandMidCoast,2016-02-29,160.0,4.69,72.60000000000001
83,Coastal_NorthIslandMidCoast,2016-01-31,0.0,-0.2935483870967743,108.6
84,Coastal_NorthIslandMidCoast,2015-12-31,0.0,-1.2185185185185186,173.4
85,Coastal_NorthIslandMidCoast,2015-11-30,0.0,2.603571428571428,162.0
86,Coastal_NorthIslandMidCoast,2015-10-31,3.0,10.951612903225808,179.4
87,Coastal_NorthIslandMidCoast,2015-09-30,0.0,12.356666666666666,141.70000000000002
88,Coastal_NorthIslandMidCoast,2015-08-31,2.0,17.85161290322581,65.60000000000001
89,Coastal_NorthIslandMidCoast,2015-07-31,19.4,19.506451612903227,60.8
90,Coastal_NorthIslandMidCoast,2015-06-30,0.0,18.05,12.8
91,Coastal_NorthIslandMidCoast,2015-05-31,0.0,14.729032258064516,6.200000000000001
92,Coastal_NorthIslandMidCoast,2015-04-30,0.0,8.34,61.00000000000001
93,Coastal_NorthIslandMidCoast,2015-03-31,0.0,7.441935483870969,225.6
94,Coastal_NorthIslandMidCoast,2015-02-28,0.0,4.671428571428571,87.2
95,Coastal_NorthIslandMidCoast,2015-01-31,0.0,1.0571428571428572,238.89999999999995
96,Coastal_NorthIslandMidCoast,2014-12-31,0.0,0.6354838709677421,134.2
97,Coastal_NorthIslandMidCoast,2014-11-30,0.0,2.606666666666668,353.4
98,Coastal_NorthIslandMidCoast,2014-10-31,0.0,10.70689655172414,254.40000000000003
99,Coastal_NorthIslandMidCoast,2014-09-30,66.2,16.10344827586207,44.6
100,Coastal_NorthIslandMidCoast,2014-08-31,4.3,19.01290322580645,20.8
101,Coastal_NorthIslandMidCoast,2014-07-31,171.60000000000002,18.81935483870968,50.3
102,Coastal_NorthIslandMidCoast,2014-06-30,0.0,15.855172413793102,11.6
103,Coastal_NorthIslandMidCoast,2014-05-31,0.0,13.74,39.6
104,Coastal_NorthIslandMidCoast,2014-04-30,0.0,9.051724137931032,39.0
105,Coastal_NorthIslandMidCoast,2014-03-31,0.0,2.796774193548387,94.1
106,Coastal_NorthIslandMidCoast,2014-02-28,0.0,-0.6555555555555556,67.7
107,Coastal_NorthIslandMidCoast,2014-01-31,0.0,3.0612903225806454,130.0
108,Coastal_NorthIslandMidCoast,2013-12-31,0.0,1.5967741935483868,219.8
109,Coastal_NorthIslandMidCoast,2013-11-30,0.0,3.5166666666666666,119.1
110,Coastal_NorthIslandMidCoast,2013-10-31,186.8,8.28,102.89999999999998
111,Coastal_NorthIslandMidCoast,2013-09-30,0.0,15.406666666666665,42.60000000000001
112,Coastal_NorthIslandMidCoast,2013-08-31,0.0,17.79032258064516,58.6
113,Coastal_NorthIslandMidCoast,2013-07-31,185.7,18.59032258064516,18.0
114,Coastal_NorthIslandMidCoast,2013-06-30,0.0,15.731034482758622,78.4
115,Coastal_NorthIslandMidCoast,2013-05-31,0.0,13.219354838709677,67.30000000000001
116,Coastal_NorthIslandMidCoast,2013-04-30,8.4,8.441379310344827,67.4
117,Coastal_NorthIslandMidCoast,2013-03-31,0.0,5.306451612903226,122.4
118,Coastal_NorthIslandMidCoast,2013-02-28,0.0,3.8285714285714287,146.0
119,Coastal_NorthIslandMidCoast,2013-01-31,0.0,0.2870967741935484,100.6
120,Coastal_NorthIslandMidCoast,2012-12-31,0.0,-0.5516129032258066,78.4
121,Coastal_NorthIslandMidCoast,2012-11-30,0.0,3.4600000000000004,84.4
122,Coastal_NorthIslandMidCoast,2012-10-31,0.0,7.993548387096775,157.9
123,Coastal_NorthIslandMidCoast,2012-09-30,14.7,14.47,84.2
124,Coastal_NorthIslandMidCoast,2012-08-31,342.20000000000005,17.538709677419355,28.9
125,Coastal_NorthIslandMidCoast,2012-07-31,0.0,17.677419354838708,16.5
126,Coastal_NorthIslandMidCoast,2012-06-30,0.0,13.896666666666668,67.6
127,Coastal_NorthIslandMidCoast,2012-05-31,2.3,11.441935483870967,33.2
128,Coastal_NorthIslandMidCoast,2012-04-30,0.0,8.746666666666666,56.8
129,Coastal_NorthIslandMidCoast,2012-03-31,0.0,4.358064516129032,81.0
130,Coastal_NorthIslandMidCoast,2012-02-29,0.0,3.1,75.60000000000001
131,Coastal_NorthIslandMidCoast,2012-01-31,0.0,-1.827586206896552,412.6
132,Coastal_NorthIslandMidCoast,2011-12-31,0.0,1.6846153846153844,345.6
133,Coastal_NorthIslandMidCoast,2011-11-30,0.0,2.52,273.3
134,Coastal_NorthIslandMidCoast,2011-10-31,0.0,8.306451612903226,135.79999999999998
135,Coastal_NorthIslandMidCoast,2011-09-30,0.0,14.05,301.99999999999994
136,Coastal_NorthIslandMidCoast,2011-08-31,0.9,16.227586206896554,73.5
137,Coastal_NorthIslandMidCoast,2011-07-31,0.0,15.222580645161289,103.6
138,Coastal_NorthIslandMidCoast,2011-06-30,0.0,14.98333333333333,43.0
139,Coastal_NorthIslandMidCoast,2011-05-31,0.0,11.55483870967742,56.00000000000001
140,Coastal_NorthIslandMidCoast,2011-04-30,0.0,6.303333333333334,52.00000000000001
141,Coastal_NorthIslandMidCoast,2011-03-31,0.0,3.6806451612903226,70.39999999999999
142,Coastal_NorthIslandMidCoast,2011-02-28,0.0,-0.5851851851851853,181.6
143,Coastal_NorthIslandMidCoast,2011-01-31,0.0,-0.2655172413793101,178.39999999999998
144,Coastal_NorthIslandMidCoast,2010-12-31,0.0,-0.0935483870967741,113.0
145,Coastal_NorthIslandMidCoast,2010-11-30,0.0,1.4200000000000002,107.79999999999998
146,Coastal_NorthIslandMidCoast,2010-10-31,0.0,9.512903225806452,198.2
147,Coastal_NorthIslandMidCoast,2010-09-30,0.0,13.116666666666664,312.99999999999994
148,Coastal_NorthIslandMidCoast,2010-08-31,4563.200000000001,17.68387096774193,49.2
149,Coastal_NorthIslandMidCoast,2010-07-31,3.3000000000000003,18.27142857142857,9.4
150,Coastal_NorthIslandMidCoast,2010-06-30,0.0,14.556666666666665,28.8
151,Coastal_NorthIslandMidCoast,2010-05-31,0.0,11.990322580645165,20.0
152,Coastal_NorthIslandMidCoast,2010-04-30,0.0,8.373333333333333,58.400000000000006
153,Coastal_NorthIslandMidCoast,2010-03-31,0.0,6.323333333333332,45.1
154,Coastal_NorthIslandMidCoast,2010-02-28,0.0,4.621428571428572,23.6
155,Coastal_NorthIslandMidCoast,2010-01-31,0.0,2.0193548387096776,83.99999999999999
156,Coastal_NorthIslandMidCoast,2009-12-31,0.0,-2.4966666666666666,18.8
157,Coastal_NorthIslandMidCoast,2009-11-30,0.0,2.5200000000000005,422.6000000000001
158,Coastal_NorthIslandMidCoast,2009-10-31,0.0,7.609677419354839,246.0
159,Coastal_NorthIslandMidCoast,2009-09-30,0.0,13.390000000000002,116.39999999999998
160,Coastal_NorthIslandMidCoast,2009-08-31,714.0,17.75862068965517,33.599999999999994
161,Coastal_NorthIslandMidCoast,2009-07-31,2692.2,19.336666666666662,17.0
162,Coastal_NorthIslandMidCoast,2009-06-30,0.0,15.89655172413793,25.8
163,Coastal_NorthIslandMidCoast,2009-05-31,35.8,11.17333333333333,57.59999999999999
164,Coastal_NorthIslandMidCoast,2009-04-30,0.0,7.541379310344826,93.4
165,Coastal_NorthIslandMidCoast,2009-03-31,0.0,,0.0
166,Coastal_NorthIslandMidCoast,2009-02-28,0.0,1.207142857142857,50.0
167,Coastal_NorthIslandMidCoast,2009-01-31,0.0,-0.1466666666666666,126.4
168,Coastal_NorthIslandMidCoast,2008-12-31,0.0,-2.3200000000000003,154.2
169,Coastal_NorthIslandMidCoast,2008-11-30,0.0,5.431034482758621,245.00000000000003
170,Coastal_NorthIslandMidCoast,2008-10-31,0.0,7.486666666666667,147.5
171,Coastal_NorthIslandMidCoast,2008-09-30,0.0,12.906896551724136,62.6
172,Coastal_NorthIslandMidCoast,2008-08-31,0.0,16.113333333333333,128.99999999999997
173,Coastal_NorthIslandMidCoast,2008-07-31,0.0,15.606666666666664,41.400000000000006
174,Coastal_NorthIslandMidCoast,2008-06-30,0.0,13.286206896551722,59.400000000000006
175,Coastal_NorthIslandMidCoast,2008-05-31,0.0,12.266666666666667,35.10000000000001
176,Coastal_NorthIslandMidCoast,2008-04-30,0.0,6.817241379310345,22.6
177,Coastal_NorthIslandMidCoast,2008-03-31,0.0,,0.0
178,Coastal_NorthIslandMidCoast,2008-02-29,0.0,2.027586206896552,135.4
179,Coastal_NorthIslandMidCoast,2008-01-31,0.0,-1.356666666666667,45.1
180,Coastal_MidIsland,2022-12-31,0.0,-0.396774193548387,279.1
181,Coastal_MidIsland,2022-11-30,0.0,2.323076923076923,90.1
182,Coastal_MidIsland,2022-10-31,3.4,12.506666666666666,105.7
183,Coastal_MidIsland,2022-09-30,0.0,16.616666666666664,5.699999999999999
184,Coastal_MidIsland,2022-08-31,6.4,21.04193548387096,0.6000000000000001
185,Coastal_MidIsland,2022-07-31,0.0,19.496774193548383,30.4
186,Coastal_MidIsland,2022-06-30,0.0,15.18,63.50000000000001
187,Coastal_MidIsland,2022-05-31,0.0,9.487096774193548,115.9
188,Coastal_MidIsland,2022-04-30,0.0,5.933333333333334,195.6
189,Coastal_MidIsland,2022-03-31,0.0,5.79032258064516,153.70000000000002
190,Coastal_MidIsland,2022-02-28,0.0,3.1785714285714293,92.0
191,Coastal_MidIsland,2022-01-31,0.0,1.4483870967741934,264.7
192,Coastal_MidIsland,2021-12-31,0.0,-1.0655172413793104,197.1
193,Coastal_MidIsland,2021-11-30,0.0,4.726666666666666,504.8
194,Coastal_MidIsland,2021-10-31,0.0,8.716666666666667,289.1
195,Coastal_MidIsland,2021-09-30,0.0,14.927586206896551,221.3
196,Coastal_MidIsland,2021-08-31,0.0,19.790000000000003,13.8
197,Coastal_MidIsland,2021-07-31,0.0,20.04516129032258,0.0
198,Coastal_MidIsland,2021-06-30,2.0,17.53793103448276,27.6
199,Coastal_MidIsland,2021-05-31,0.0,12.41333333333333,47.0
200,Coastal_MidIsland,2021-04-30,0.0,9.273333333333332,33.9
201,Coastal_MidIsland,2021-03-31,0.0,5.239285714285716,149.2
202,Coastal_MidIsland,2021-02-28,0.0,2.1392857142857147,75.19999999999999
203,Coastal_MidIsland,2021-01-31,0.0,3.438709677419355,340.5
204,Coastal_MidIsland,2020-12-31,0.0,3.2193548387096773,360.9
205,Coastal_MidIsland,2020-11-30,0.0,4.917857142857142,281.7
206,Coastal_MidIsland,2020-10-31,0.0,10.351612903225808,120.0
207,Coastal_MidIsland,2020-09-30,0.0,16.869999999999997,91.0
208,Coastal_MidIsland,2020-08-31,0.0,17.729032258064517,74.2
209,Coastal_MidIsland,2020-07-31,0.0,17.932258064516127,7.1
210,Coastal_MidIsland,2020-06-30,0.0,15.21,48.4
211,Coastal_MidIsland,2020-05-31,0.0,12.987096774193546,69.8
212,Coastal_MidIsland,2020-04-30,0.0,8.859999999999998,60.30000000000001
213,Coastal_MidIsland,2020-03-31,0.0,4.306451612903226,76.8
214,Coastal_MidIsland,2020-02-29,0.0,3.0620689655172413,110.20000000000002
215,Coastal_MidIsland,2020-01-31,0.0,2.2793103448275867,558.9
216,Coastal_MidIsland,2019-12-31,0.0,3.4290322580645154,277.0
217,Coastal_MidIsland,2019-11-30,0.0,5.55,114.6
218,Coastal_MidIsland,2019-10-31,0.0,8.106451612903227,148.4
219,Coastal_MidIsland,2019-09-30,0.0,15.072413793103449,78.99999999999999
220,Coastal_MidIsland,2019-08-31,3.1,19.0258064516129,45.0
221,Coastal_MidIsland,2019-07-31,0.0,17.863333333333333,19.3
222,Coastal_MidIsland,2019-06-30,1.8,15.886666666666668,38.7
223,Coastal_MidIsland,2019-05-31,15.4,15.206451612903225,21.9
224,Coastal_MidIsland,2019-04-30,0.0,8.673333333333334,126.3
225,Coastal_MidIsland,2019-03-31,0.0,5.606451612903226,30.3
226,Coastal_MidIsland,2019-02-28,0.0,-0.5714285714285714,77.79999999999998
227,Coastal_MidIsland,2019-01-31,0.0,3.309999999999999,325.6
228,Coastal_MidIsland,2018-12-31,0.0,2.4774193548387102,542.3000000000001
229,Coastal_MidIsland,2018-11-30,0.0,6.803333333333334,259.9
230,Coastal_MidIsland,2018-10-31,0.0,9.814285714285717,92.6
231,Coastal_MidIsland,2018-09-30,0.0,14.075,229.6
232,Coastal_MidIsland,2018-08-31,46.0,19.638709677419357,4.5
233,Coastal_MidIsland,2018-07-31,0.8,19.664285714285715,3.7
234,Coastal_MidIsland,2018-06-30,0.0,15.292592592592596,41.9
235,Coastal_MidIsland,2018-05-31,0.0,15.03,14.6
236,Coastal_MidIsland,2018-04-30,0.0,8.22272727272727,161.7
237,Coastal_MidIsland,2018-03-31,4.6,4.241666666666667,28.4
238,Coastal_MidIsland,2018-02-28,0.0,1.73,58.6
239,Coastal_MidIsland,2018-01-31,0.0,3.208,396.3
240,Coastal_MidIsland,2017-12-31,0.0,1.12,84.2
241,Coastal_MidIsland,2017-11-30,0.0,4.840909090909092,489.5
242,Coastal_MidIsland,2017-10-31,11.8,8.4,26.3
243,Coastal_MidIsland,2017-09-30,0.0,18.87692307692308,4.0
244,Coastal_MidIsland,2017-08-31,1.7,20.039285714285715,0.6
245,Coastal_MidIsland,2017-07-31,0.0,18.067741935483877,2.4
